pillar,pattern,file,line,context
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,645,The neutron is a Y-junction configuration with a non-zero net Burgers vector:
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,777,\item \textbf{Proton:} Perfect Y-junction with zero dislocation $\Rightarrow$ lower energy
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,778,\item \textbf{Neutron:} Y-junction + edge dislocation $\Rightarrow$ higher energy
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,935,"integral part of the Y-junction structure. To annihilate the dislocation, the"
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,992,for the Y-junction topology to transform from neutron ($udd$) to proton ($uud$)
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,1145,\item \textbf{Core transformation:} The Y-junction changes from $udd$ to $uud$
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,1457,Let $\Lambda$ be the hexagonal lattice with vertices (Y-junctions) and links
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,1465,The constraint at each Y-junction is:
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/CH3_electroweak_parameters.tex,471,The dislocation is not a ``small wiggle''---it is integral to the Y-junction structure.
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/figures/fig_master_weak_pipeline.tex,27,{Pion\\{\tiny junction-pair}};
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/EDC_Part_II_Weak_Sector_rebuild.tex,782,defect (Y-junction dislocation) in the flux tube lattice.
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/EDC_Part_II_Weak_Sector_rebuild.tex,808,2026 Jan (Week 2) & Neutron as Y-junction dislocation & \checkmark \\
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/13_summary.tex,121,\item \textbf{Why is the proton stable?} Chapter~2 proves that the proton Y-junction
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_geometry_interface.tex,52,The proton configuration (modeled as a Y-junction in the brane layer)
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_geometry_interface.tex,73,Our universe is stable because the proton Y-junction configuration represents a
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,39,\item \textbf{Proton structure:} The proton is a frozen Y-junction with configuration space
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,549,% 2.7 PROTON AS FROZEN Y-JUNCTION
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,551,\section{Proton as Frozen Y-Junction}
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,556,\textbf{5D cause:} Three flux tubes meeting at Y-junction in 5D bulk.\\
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,636,\subsection{The Steiner Problem: Optimal Y-Junction}
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,644,"For three points with equal connecting tensions, the minimal-length network is a Y-junction"
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,724,\textbf{5D cause:} Different topological structures (sphere vs.\ Y-junction).\\
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,960,\item Y-junction structure → proves proton is topological minimum
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,988,\item \textbf{Proton stability:} Z6 proves Y-junction is unique topological minimum
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/04b_proton_anchor.tex,11,\textbf{Postulate.} Our universe is stable because the proton Y-junction configuration represents
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/04b_proton_anchor.tex,36,The proton occupies a sector $\mathcal{C}_Y$ (Y-junction configurations) that is separated
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/04b_proton_anchor.tex,41,\begin{edcPropositionBox}{Proton as a locally minimizing Y-junction}{[P] $\to$ [Dc] in Ch2}
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/04b_proton_anchor.tex,42,The proton Y-junction configuration $\Psi_p$ is a \emph{local minimum} of $\mathcal{E}$
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/04b_proton_anchor.tex,60,\item The proton Y-junction emerges as a $\mathbb{Z}_3$ fixed point of the hexagonal lattice symmetry
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/04b_proton_anchor.tex,74,topological anchor plus ledger closure yield observer-robust worlds. The proton Y-junction is one
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/04b_proton_anchor.tex,93,"Proton is Y-junction minimum & [Dc] & Ch2, Thm 5.1 \\"
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/04b_proton_anchor.tex,114,\item If the Y-junction configuration cannot be realized as a stationary point of any reasonable
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_case_neutron.tex,19,"Neutron = excited Y-junction (same topology as proton, displaced from Steiner minimum)\\"
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_case_neutron.tex,26,"Y-junction in an excited state. Decay is geometric relaxation, not a point-particle"
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_case_neutron.tex,84,\item \textbf{Bulk-core:} The Y-junction with three flux-tube arms in the 5D bulk.
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_case_neutron.tex,141,Topology & Y-junction (3 arms) & Y-junction (3 arms) \\
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_case_neutron.tex,323,\paragraph{Stage A: Absorption (brane charging by junction relaxation).}
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_case_neutron.tex,607,its ledger: the energy deposited by junction relaxation must appear as observable
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_neutron_story.tex,27,"topological family as the anchored Y-junction, but displaced in the bulk-facing degrees of freedom."
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/ch11_opr20_attemptH1_mediator_identity.tex,257,\item Mass set by junction/BKT physics
P1_proton,Y-junction|Y junction|Yjunction,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/06_case_muon.tex,62,"The neutron's complexity (three-arm Y-junction, baryonic topology, quark"
P1_proton,proton.*5D|5D.*proton,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,17,"\emph{``Možeš li matematički dokazati (matematika 5D EDC), da je proton"
P1_proton,proton.*5D|5D.*proton,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,25,\emph{``Can you \textbf{mathematically prove} (using 5D EDC mathematics) that the proton
P1_proton,proton.*5D|5D.*proton,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,426,"\item The three flux tubes extend into the bulk (5D), anchoring the proton to the brane"
P1_proton,proton.*5D|5D.*proton,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,490,% --- Visual: Proton as Perfect 5D Flux Tube Lattice ---
P1_proton,proton.*5D|5D.*proton,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,494,"\node[font=\bfseries] at (0,3) {Proton: Perfect 5D Flux Tube Lattice};"
P1_proton,proton.*5D|5D.*proton,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,653,% --- Visual: Proton vs Neutron in 5D Flux Tube Lattice ---
P1_proton,proton.*5D|5D.*proton,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_geometry_interface.tex,74,local minimum of the 5D energy functional. The proton is not just ``the lightest
P1_proton,proton.*5D|5D.*proton,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/12_epistemic_map.tex,248,"Bulk-core particles & Neutron, proton have 5D bulk structure \\"
P1_proton,proton.*5D|5D.*proton,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_case_neutron.tex,25,The neutron is not a ``different particle'' from the proton---it is the same 5D
P1_proton,proton.*5D|5D.*proton,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,81,"entities (electrons, protons, gauge fields) are \textbf{3D shadows} of this 5D geometry."
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/EDC_Part_II_Weak_Sector_rebuild.tex,369,"3 & The $\mathbb{Z}_6$ Program & Proofs, Steiner angles, proton stability \\"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/EDC_Part_II_Weak_Sector_rebuild.tex,437,"\textit{Mathematical proofs for claims in Chapters~1--2: proton stability, Steiner angles,"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/EDC_Part_II_Weak_Sector_rebuild.tex,777,provides both stability (120° Steiner angles) and symmetry ($\mathbb{Z}_2 \times \mathbb{Z}_3$).
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/EDC_Part_II_Weak_Sector_rebuild.tex,807,2026 Jan (Week 1) & Steiner angles derived (120°) & \checkmark \\
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/bib/part2_backbone.bib,11,"% G) Geometric/variational (isoperimetric, Steiner)"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/bib/part2_backbone.bib,228,"% G) GEOMETRIC / VARIATIONAL (Isoperimetric, Steiner)"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/bib/part2_backbone.bib,244,"title     = {The Steiner Tree Problem},"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,7,"the mysterious 120° Steiner angles were not accidents, but \emph{geometrically"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,18,topološki energetski minimum i da je Steiner 120° geometrijski uvjetovano
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,26,"is a \textbf{topological energy minimum}, and that the Steiner 120° geometry is"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,50,\item Does the \textbf{Steiner 120° angle} follow from $\mathcal{M}^5$ topology and
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,70,\item Proton modeled as Y-junction (Steiner point)
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,76,\item Why 120° specifically (beyond appeal to Steiner's theorem)
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,82,\section{Step 1: Classical Steiner Problem}
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,86,\begin{stepbox}{1}{The Classical Steiner Minimum}
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,94,"\begin{theorem}[Steiner, 1834] \tagM{}"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,95,\label{thm:steiner}
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,97,connecting them consists of segments meeting at a point $S$ (Steiner point)
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,117,\label{eq:steiner_equilibrium}
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,124,Theorem \ref{thm:steiner} assumes all three segments have \textbf{equal weight}
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,189,\begin{corollary}[Steiner Angles from $\mathbb{Z}_6$]
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,190,\label{cor:steiner_z6}
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,199,"By Theorem \ref{thm:steiner}, equilibrium requires $120°$ angles."
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,351,\item \tagDc{} Steiner 120° angles (Corollary \ref{cor:steiner_z6})
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,364,\textbf{Goal:} Show that the proton (Y-junction at Steiner point) is a
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,415,\item Energy is minimized (Steiner configuration)
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,476,"At the Steiner configuration $(\theta_1, \theta_2, \theta_3) = (0°, 120°, 240°)$:"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,478,"\textbf{First variation:} $\delta E = 0$ (equilibrium, by Steiner's theorem)"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,487,"Hessian is positive-definite, so Steiner configuration is a local minimum."
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,521,All angles $= 120^\circ$ (Steiner minimum)\\
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,537,\item \tagDc{} Steiner equilibrium (Corollary \ref{cor:steiner_z6})
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,936,entire Steiner node must reorganize:
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,1399,the Steiner angles!
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,1864,"\node[box, fill=purple!20] (steiner) at (0,-7.5) {[Dc] Steiner 120°};"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,1882,\draw[arrow] (equal) -- (steiner);
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,1884,\draw[arrow] (steiner) -- (proton);
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,1885,\draw[arrow] (steiner) -- (neutron);
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,1905,Steiner theorem (equal weights $\to$ 120°) & \tagM{} & Classical geometry \\
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,1918,Steiner angles & \tagDc{} & From equal tensions + [M] \\
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,1954,\item \textbf{Q2: Does Steiner 120° follow from $\mathcal{M}^5$ topology and BC?}
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,1960,\item Equal tensions $\to$ Steiner equilibrium at 120°
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/Z6_content_full.tex,2092,"Steiner problems to Standard Model symmetries, and crystal dislocations to"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/CH3_electroweak_parameters.tex,472,"To annihilate the dislocation, the entire Steiner node must reorganize:"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/05_neutron_story.tex,100,"Here $q\approx 0$ denotes proximity to the anchored junction geometry (Steiner-like closure),"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/13_summary.tex,124,\item \textbf{Why 120° Steiner angles?} The Steiner geometry is not assumed but
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/09_case_electron.tex,187,"the proton ground state (Steiner $120^\circ$, $q = 0$). This releases"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,22,"\item \textbf{Brane process:} Step-function profiles, energy minimization, isoperimetric/Steiner constraints"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,40,"volume $\text{Area}(S^3)^3 = (2\pi^2)^3$, derived from Steiner equilibrium \tagM{}."
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,442,"\item By Steiner symmetrization, the surface area decreases (or stays same) when the"
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,557,\textbf{Brane process:} Steiner equilibrium + 4D angular integration.\\
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,636,\subsection{The Steiner Problem: Optimal Y-Junction}
P1_proton,Steiner,/Users/igor/ClaudeAI/EDC_Project/elastic-diffusive-cosmology_repo/edc_book_2/src/sections/02_frozen_regime_foundations.tex,638,The Steiner tree problem~\cite{HwangRichardsWinter1992} asks for the minimal-length network
